Nome,Partido,UF,Projetos de Lei,Gastos Cota Parlamentar (R$),Custo por Projeto (R$)
Adail Filho,REPUBLICANOS,AM,0,189128.37,
Adolfo Viana,PSDB,BA,0,155005.94000000003,
Adriano do Baldy,PP,GO,0,100065.84999999999,
Aécio Neves,PSDB,MG,0,177197.13999999998,
Airton Faleiro,PT,PA,0,218308.39,
AJ Albuquerque,PP,CE,0,139675.9,
Alberto Fraga,PL,DF,0,212237.37999999998,
Albuquerque,REPUBLICANOS,RR,0,248253.63,
Alencar Santana,PT,SP,0,247668.56999999995,
Alex Manente,CIDADANIA,SP,0,118412.52000000002,
Alex Santana,REPUBLICANOS,BA,0,158047.38000000003,
Alfredinho,PT,SP,0,195088.65000000002,
Alfredo Gaspar,UNIÃO,AL,0,182109.52000000002,
Alice Portugal,PCdoB,BA,0,217931.16999999998,
Allan Garcês,PP,MA,0,219113.28,
Altineu Côrtes,PL,RJ,0,150627.37,
Amanda Gentil,PP,MA,0,234453.65,
Amaro Neto,REPUBLICANOS,ES,0,239392.03,
